PROGRAMES DE DOCTORAT - TESIS AMB LA QUALIFICACIÓ CUM LAUDE;TOTAL - Tesis amb la qualificació cum laude;TOTAL - Tesis defensades;TOTAL - Tesis amb la qualificació cum laude (%);DONES - Tesis amb la qualificació cum laude;DONES - Tesis defensades;DONES - Tesis amb la qualificació cum laude (%);HOMES - Tesis amb la qualificació cum laude;HOMES - Tesis defensades;HOMES - Tesis amb la qualificació cum laude (%)
AIGUA I DESENVOLUPAMENT SOSTENIBLE;4;8;50;2;4;50;2;4;50
BIODIVERSITAT I CONSERVACIÓ;5;6;83.33;1;2;50;4;4;100
BIOLOGIA EXPERIMENTAL I APLICADA;8;9;88.89;6;7;85.71;2;2;100
CIÈNCIA DE MATERIALS;5;7;71.43;3;5;60;2;2;100
CIÈNCIES DE LA SALUT;22;26;84.62;14;18;77.78;8;8;100
CIÈNCIES DE L'ACTIVIDAT FÍSICA I DE L'ESPORT;0;0;0;0;0;0;0;0;0
CIÈNCIES DEL MAR I BIOLOGIA APLICADA;2;3;66.67;0;1;0;2;2;100
CIÈNCIES EXPERIMENTALS I BIOSANITÀRIES;4;5;80;3;4;75;1;1;100
CONSERVACIÓ I RESTAURACIÓ D'ECOSISTEMES;3;4;75;2;2;100;1;2;50
DRET;10;13;76.92;4;4;100;6;9;66.67
ECONOMIA;8;9;88.89;4;5;80;4;4;100
ECONOMIA (Interuniversitari);0;0;0;0;0;0;0;0;0
ELECTROQUÍMICA. CIÈNCIA I TECNOLOGIA (Interuniversitari);2;3;66.67;0;1;0;2;2;100
EMPRESA, ECONOMIA I SOCIETAT;11;13;84.62;4;5;80;7;8;87.5
ENGINYERIA DE MATERIALS, ESTRUCTURES I TERRENY: CONSTRUCCIÓ SOSTENIBLE;6;8;75;2;2;100;4;6;66.67
ENGINYERIA QUÍMICA;4;4;100;2;2;100;2;2;100
ESTUDIS HISTÒRICS I SOCIALS SOBRE CIÈNCIA, MEDICINA I COMUNICACIÓ CIENTÍFICA (Interuniversitari);0;1;0;0;1;0;0;0;0
ESTUDIS INTERDISCIPLINARS DE GÈNERE (Interuniversitari);1;1;100;1;1;100;0;0;0
FILOSOFIA (Interuniversitari);0;0;0;0;0;0;0;0;0
FILOSOFIA I LLETRES;24;32;75;14;17;82.35;10;15;66.67
FÍSICA APLICADA A LES CIÈNCIES I LES TECNOLOGIES;0;1;0;0;0;0;0;1;0
HUMANITATS I ESTUDIS SOCIALS D'AMÈRICA LLATINA;9;13;69.23;5;6;83.33;4;7;57.14
INFORMÀTICA;17;20;85;4;4;100;13;16;81.25
INVESTIGACIÓ EDUCATIVA;25;27;92.59;13;14;92.86;12;13;92.31
MARIE SKLODOWSKA-CURIE EN DRET DE PROPIETAT INTEL·LECTUAL I INNOVACIÓ (EIPN-IS) (EUROPEU CONJUNT);2;2;100;1;1;100;1;1;100
MÈTODES MATEMÀTICS I MODELITZACIÓ EN CIÈNCIES I ENGINYERIA;8;8;100;2;2;100;6;6;100
NANOCIÈNCIA I NANOTECNOLOGIA (Interuniversitari);0;0;0;0;0;0;0;0;0
NANOCIÈNCIA I NANOTECNOLOGIA (Interuniversitari, a extingir);1;1;100;1;1;100;0;0;0
SÍNTESI ORGÀNICA;4;4;100;3;3;100;1;1;100
TECNOLOGIA EDUCATIVA APLICADA AL CONEIXEMENT;0;0;0;0;0;0;0;0;0
TRADUCTOLOGIA, TRADUCCIÓ PROFESSIONAL I AUDIOVISUAL (Interuniversitari);0;1;0;0;1;0;0;0;0
TRANSFERÈNCIES INTERCULTURALS I HISTÒRIQUES A L'EUROPA MEDIEVAL;14;14;100;4;4;100;10;10;100
TURISME (Interuniversitari);0;0;0;0;0;0;0;0;0
TURISME (Interuniversitari, a extingir);3;4;75;1;1;100;2;3;66.67
