PROGRAMES DE DOCTORAT- DOCTORS/ES AMB ESMENT INTERNACIONAL;TOTAL - Doctors/es amb esment internacional;TOTAL - Tesis defensades;TOTAL - Doctors/es amb esment internacional (%);DONES - Doctors/es amb esment internacional;DONES - Tesis defensades;DONES - Doctors/es amb esment internacional (%);HOMES - Doctors/es amb esment internacional;HOMES - Tesis defensades;HOMES - Doctors/es amb esment internacional (%)
AIGUA I DESENVOLUPAMENT SOSTENIBLE;0;8;0;0;4;0;0;4;0
BIODIVERSITAT I CONSERVACIÓ;1;6;16.67;0;2;0;1;4;25
BIOLOGIA EXPERIMENTAL I APLICADA;4;9;44.44;3;7;42.86;1;2;50
CIÈNCIA DE MATERIALS;3;7;42.86;2;5;40;1;2;50
CIÈNCIES DE LA SALUT;5;26;19.23;5;18;27.78;0;8;0
CIÈNCIES DE L'ACTIVIDAT FÍSICA I DE L'ESPORT;0;0;0;0;0;0;0;0;0
CIÈNCIES DEL MAR I BIOLOGIA APLICADA;1;3;33.33;0;1;0;1;2;50
CIÈNCIES EXPERIMENTALS I BIOSANITÀRIES;2;5;40;2;4;50;0;1;0
CONSERVACIÓ I RESTAURACIÓ D'ECOSISTEMES;2;4;50;1;2;50;1;2;50
DRET;3;13;23.08;1;4;25;2;9;22.22
ECONOMIA;6;9;66.67;3;5;60;3;4;75
ECONOMIA (Interuniversitari);0;0;0;0;0;0;0;0;0
ELECTROQUÍMICA. CIÈNCIA I TECNOLOGIA (Interuniversitari);2;3;66.67;1;1;100;1;2;50
EMPRESA, ECONOMIA I SOCIETAT;4;13;30.77;1;5;20;3;8;37.5
ENGINYERIA DE MATERIALS, ESTRUCTURES I TERRENY: CONSTRUCCIÓ SOSTENIBLE;5;8;62.5;2;2;100;3;6;50
ENGINYERIA QUÍMICA;0;4;0;0;2;0;0;2;0
ESTUDIS HISTÒRICS I SOCIALS SOBRE CIÈNCIA, MEDICINA I COMUNICACIÓ CIENTÍFICA (Interuniversitari);0;1;0;0;1;0;0;0;0
ESTUDIS INTERDISCIPLINARS DE GÈNERE (Interuniversitari);0;1;0;0;1;0;0;0;0
FILOSOFIA (Interuniversitari);0;0;0;0;0;0;0;0;0
FILOSOFIA I LLETRES;11;32;34.38;9;17;52.94;2;15;13.33
FÍSICA APLICADA A LES CIÈNCIES I LES TECNOLOGIES;0;1;0;0;0;0;0;1;0
HUMANITATS I ESTUDIS SOCIALS D'AMÈRICA LLATINA;0;13;0;0;6;0;0;7;0
INFORMÀTICA;6;20;30;3;4;75;3;16;18.75
INVESTIGACIÓ EDUCATIVA;2;27;7.41;0;14;0;2;13;15.38
MARIE SKLODOWSKA-CURIE EN DRET DE PROPIETAT INTEL·LECTUAL I INNOVACIÓ (EIPN-IS) (EUROPEU CONJUNT);0;2;0;0;1;0;0;1;0
MÈTODES MATEMÀTICS I MODELITZACIÓ EN CIÈNCIES I ENGINYERIA;1;8;12.5;0;2;0;1;6;16.67
NANOCIÈNCIA I NANOTECNOLOGIA (Interuniversitari);0;0;0;0;0;0;0;0;0
NANOCIÈNCIA I NANOTECNOLOGIA (Interuniversitari, a extinguir);1;1;100;1;1;100;0;0;0
SÍNTESI ORGÀNICA;3;4;75;2;3;66.67;1;1;100
TECNOLOGIA EDUCATIVA APLICADA AL CONEIXEMENT;0;0;0;0;0;0;0;0;0
TRADUCTOLOGIA, TRADUCCIÓ PROFESSIONAL I AUDIOVISUAL (Interuniversitari);0;1;0;0;1;0;0;0;0
TRANSFERÈNCIES INTERCULTURALS I HISTÒRIQUES A L'EUROPA MEDIEVAL;1;14;7.14;0;4;0;1;10;10
TURISME (Interuniversitari);0;0;0;0;0;0;0;0;0
TURISME (Interuniversitari, a extingir);1;4;25;0;1;0;1;3;33.33
