PROGRAMES DE DOCTORAT- DOCTORS/ES EN RÈGIM DE COTUTELA INTERNACIONAL;TOTAL - Doctors/es amb tesis en règim de cotutela internacional;TOTAL - Tesis defensades;TOTAL - Doctors/es amb tesis en règim de cotutela internacional (%);DONES - Doctors/es amb tesis en règim de cotutela internacional;DONES - Tesis defensades;DONES - Doctors/es amb tesis en règim de cotutela internacional (%);HOMES - Doctors/es amb tesis en règim de cotutela internacional;HOMES - Tesis defensades;HOMES - Doctors/es amb tesis en règim de cotutela internacional (%)
AIGUA I DESENVOLUPAMENT SOSTENIBLE;4;8;50;2;4;50;2;4;50
BIODIVERSITAT I CONSERVACIÓ;0;6;0;0;2;0;0;4;0
BIOLOGIA EXPERIMENTAL I APLICADA;0;9;0;0;7;0;0;2;0
CIÈNCIA DE MATERIALS;0;7;0;0;5;0;0;2;0
CIÈNCIES DE LA SALUT;0;26;0;0;18;0;0;8;0
CIÈNCIES DE L'ACTIVIDAT FÍSICA I DE L'ESPORT;0;0;0;0;0;0;0;0;0
CIÈNCIES DEL MAR I BIOLOGIA APLICADA;2;3;66.67;0;1;0;2;2;100
CIÈNCIES EXPERIMENTALS I BIOSANITÀRIES;0;5;0;0;4;0;0;1;0
CONSERVACIÓ I RESTAURACIÓ D'ECOSISTEMES;0;4;0;0;2;0;0;2;0
DRET;3;13;23.08;1;4;25;2;9;22.22
ECONOMIA;0;9;0;0;5;0;0;4;0
ECONOMIA (Interuniversitari);0;0;0;0;0;0;0;0;0
ELECTROQUÍMICA. CIÈNCIA I TECNOLOGIA (Interuniversitari);1;3;33.33;0;1;0;1;2;50
EMPRESA, ECONOMIA I SOCIETAT;1;13;7.69;0;5;0;1;8;12.5
ENGINYERIA DE MATERIALS, ESTRUCTURES I TERRENY: CONSTRUCCIÓ SOSTENIBLE;1;8;12.5;0;2;0;1;6;16.67
ENGINYERIA QUÍMICA;1;4;25;1;2;50;0;2;0
ESTUDIS HISTÒRICS I SOCIALS SOBRE CIÈNCIA, MEDICINA I COMUNICACIÓ CIENTÍFICA (Interuniversitari);0;1;0;0;1;0;0;0;0
ESTUDIS INTERDISCIPLINARS DE GÈNERE (Interuniversitari);0;1;0;0;1;0;0;0;0
FILOSOFIA (Interuniversitari);0;0;0;0;0;0;0;0;0
FILOSOFIA I LLETRES;1;32;3.13;0;17;0;1;15;6.67
FÍSICA APLICADA A LES CIÈNCIES I LES TECNOLOGIES;0;1;0;0;0;0;0;1;0
HUMANITATS I ESTUDIS SOCIALS D'AMÈRICA LLATINA;1;13;7.69;1;6;16.67;0;7;0
INFORMÀTICA;3;20;15;0;4;0;3;16;18.75
INVESTIGACIÓ EDUCATIVA;0;27;0;0;14;0;0;13;0
MARIE SKLODOWSKA-CURIE EN DRET DE PROPIETAT INTEL·LECTUAL I INNOVACIÓ (EIPN-IS) (EUROPEU CONJUNT);0;2;0;0;1;0;0;1;0
MÈTODES MATEMÀTICS I MODELITZACIÓ EN CIÈNCIES I ENGINYERIA;0;8;0;0;2;0;0;6;0
NANOCIÈNCIA I NANOTECNOLOGIA (Interuniversitari);0;0;0;0;0;0;0;0;0
NANOCIÈNCIA I NANOTECNOLOGIA (Interuniversitari, a extingir);0;1;0;0;1;0;0;0;0
SÍNTESI ORGÀNICA;1;4;25;1;3;33.33;0;1;0
TECNOLOGIA EDUCATIVA APLICADA AL CONEIXEMENT;0;0;0;0;0;0;0;0;0
TRADUCTOLOGIA, TRADUCCIÓ PROFESSIONAL I AUDIOVISUAL (Interuniversitari);1;1;100;1;1;100;0;0;0
TRANSFERÈNCIES INTERCULTURALS I HISTÒRIQUES A L'EUROPA MEDIEVAL;0;14;0;0;4;0;0;10;0
TURISME (Interuniversitari);0;0;0;0;0;0;0;0;0
TURISME (Interuniversitari, a extingir);0;4;0;0;1;0;0;3;0
