PROGRAMES DE DOCTORAT - DOCTORS/ES AMB ESMENT INDUSTRIAL;TOTAL - Doctors/es amb esment industrial;TOTAL - Tesis defensades;TOTAL - Doctors/es amb esment industrial (%);DONES - Doctors/es amb esment industrial;DONES - Tesis defensades;DONES - Doctors/es amb esment industrial (%);HOMES - Doctors/es amb esment industrial;HOMES - Tesis defensades;HOMES - Doctors/es amb esment industrial (%)
AIGUA I DESENVOLUPAMENT SOSTENIBLE;0;8;0;0;4;0;0;4;0
BIODIVERSITAT I CONSERVACIÓ;0;6;0;0;2;0;0;4;0
BIOLOGIA EXPERIMENTAL I APLICADA;0;9;0;0;7;0;0;2;0
CIÈNCIA DE MATERIALS;0;7;0;0;5;0;0;2;0
CIÈNCIES DE LA SALUT;0;26;0;0;18;0;0;8;0
CIÈNCIES DE L'ACTIVIDAT FÍSICA I DE L'ESPORT;0;0;0;0;0;0;0;0;0
CIÈNCIES DEL MAR I BIOLOGIA APLICADA;0;3;0;0;1;0;0;2;0
CIÈNCIES EXPERIMENTALS I BIOSANITÀRIES;0;5;0;0;4;0;0;1;0
CONSERVACIÓ I RESTAURACIÓ D'ECOSISTEMES;0;4;0;0;2;0;0;2;0
DRET;0;13;0;0;4;0;0;9;0
ECONOMIA;0;9;0;0;5;0;0;4;0
ECONOMIA (Interuniversitari);0;0;0;0;0;0;0;0;0
ELECTROQUÍMICA. CIÈNCIA I TECNOLOGIA (Interuniversitari);0;3;0;0;1;0;0;2;0
EMPRESA, ECONOMIA I SOCIETAT;0;13;0;0;5;0;0;8;0
ENGINYERIA DE MATERIALS, ESTRUCTURES I TERRENY: CONSTRUCCIÓ SOSTENIBLE;0;8;0;0;2;0;0;6;0
ENGINYERIA QUÍMICA;0;4;0;0;2;0;0;2;0
ESTUDIS HISTÒRICS I SOCIALS SOBRE CIÈNCIA, MEDICINA I COMUNICACIÓ CIENTÍFICA (Interuniversitari);0;1;0;0;1;0;0;0;0
ESTUDIS INTERDISCIPLINARS DE GÈNERE (Interuniversitari);0;1;0;0;1;0;0;0;0
FILOSOFIA (Interuniversitari);0;0;0;0;0;0;0;0;0
FILOSOFIA I LLETRES;0;32;0;0;17;0;0;15;0
FÍSICA APLICADA A LES CIÈNCIES I LES TECNOLOGIES;0;1;0;0;0;0;0;1;0
HUMANITATS I ESTUDIS SOCIALS D'AMÈRICA LLATINA;0;13;0;0;6;0;0;7;0
INFORMÀTICA;2;20;10;0;4;0;2;16;12.5
INVESTIGACIÓ EDUCATIVA;0;27;0;0;14;0;0;13;0
MARIE SKLODOWSKA-CURIE EN DRET DE PROPIETAT INTEL·LECTUAL I INNOVACIÓ (EIPN-IS) (EUROPEU CONJUNT);0;2;0;0;1;0;0;1;0
MÈTODES MATEMÀTICS I MODELITZACIÓ EN CIÈNCIES I ENGINYERIA;0;8;0;0;2;0;0;6;0
NANOCIÈNCIA I NANOTECNOLOGIA (Interuniversitari);0;0;0;0;0;0;0;0;0
NANOCIÈNCIA I NANOTECNOLOGIA (Interuniversitari, a extingir);0;1;0;0;1;0;0;0;0
SÍNTESI ORGÀNICA;0;4;0;0;3;0;0;1;0
TECNOLOGIA EDUCATIVA APLICADA AL CONEIXEMENT;0;0;0;0;0;0;0;0;0
TRADUCTOLOGIA, TRADUCCIÓ PROFESSIONAL I AUDIOVISUAL (Interuniversitari);0;1;0;0;1;0;0;0;0
TRANSFERÈNCIES INTERCULTURALS I HISTÒRIQUES A L'EUROPA MEDIEVAL;0;14;0;0;4;0;0;10;0
TURISME (Interuniversitari);0;0;0;0;0;0;0;0;0
TURISME (Interuniversitari, a extingir);0;4;0;0;1;0;0;3;0
